Unnamed: 0,Country,Cluster,Cluster_Name,PageRank_Score,Weighted_Influence,Scaled_Influence
0,The Netherlands,0,Western Core,0.02413283267132887,497.6875708280675,0.7933699445100224
1,Belgium,0,Western Core,0.02317588802368207,459.7761547385974,0.7146318622718542
2,Australia,1,Nordic & Baltic Bloc,0.02461731720555975,462.9607740068656,0.7212459864515046
3,Poland,2,Eastern European Bloc,0.01847367693122681,404.2803440685048,0.5993728148624053
4,Ireland,0,Western Core,0.02387257793851787,482.616927662915,0.7620697805140524
5,France,0,Western Core,0.02137651649179871,410.3408998548213,0.6119599611400814
6,Ukraine,2,Eastern European Bloc,0.03008546139089656,580.1436382655281,0.9646226511777112
7,Israel,0,Western Core,0.02672413763280093,530.7719265197411,0.8620827225581982
8,Sweden,1,Nordic & Baltic Bloc,0.02859966289803074,597.1773956700737,1.0
9,Portugal,0,Western Core,0.02121733270936309,421.5748187189194,0.6352916463847258
10,United Kingdom,0,Western Core,0.02184452246343964,407.8113868784032,0.6067064248361436
11,Russia,2,Eastern European Bloc,0.0262871042592854,532.1770268131025,0.865000970248827
12,Switzerland,0,Western Core,0.02382019209994049,475.6346611193551,0.747568336515807
13,Czechia,2,Eastern European Bloc,0.01781874997663587,394.374245780867,0.578798875345331
14,Turkey,0,Western Core,0.01839413009396314,360.8220884399738,0.5091145217527207
15,Spain,0,Western Core,0.01849425119639501,321.6676695620987,0.4277948515426145
16,Latvia,1,Nordic & Baltic Bloc,0.01933498439254054,397.8225570158353,0.5859606604118917
17,Armenia,2,Eastern European Bloc,0.02157433093447397,436.7322535623276,0.6667720677017084
18,Germany,0,Western Core,0.01850919600972621,352.9577711312134,0.49278114972718406
19,Norway,1,Nordic & Baltic Bloc,0.024027089421918,491.4336568175379,0.7803812132394887
20,Greece,2,Eastern European Bloc,0.0257821941559614,533.2088705604866,0.8671440027761992
21,Denmark,1,Nordic & Baltic Bloc,0.02222987275793381,451.0027285187945,0.696410365254305
22,Italy,0,Western Core,0.02490983741908706,486.7068042003576,0.7705640302247234
23,Iceland,1,Nordic & Baltic Bloc,0.02077409779700841,422.4382312806562,0.6370848647950078
24,Austria,0,Western Core,0.02051046798744825,416.5289928762402,0.6248119890376425
25,Bulgaria,2,Eastern European Bloc,0.02382306701183706,456.6487832585982,0.7081366358155183
26,Estonia,1,Nordic & Baltic Bloc,0.0208049662586547,430.0396103968489,0.6528721414443892
27,Hungary,2,Eastern European Bloc,0.01864779546770373,388.2317606497707,0.56604157030936
28,Lithuania,1,Nordic & Baltic Bloc,0.01944468763186411,416.6075182707617,0.6249750781440222
29,Romania,2,Eastern European Bloc,0.01953493246641021,405.4500121474524,0.601802094242901
30,Cyprus,2,Eastern European Bloc,0.02237430111715173,461.3016157915552,0.7178000867864818
31,Serbia,3,Balkan Brotherhood,0.0238622479488862,453.1609782835557,0.7008928263437886
32,Finland,1,Nordic & Baltic Bloc,0.02078617700769216,404.5501543480588,0.5999331828510368
33,Luxembourg,0,Western Core,0.01174646658756795,202.2205618498295,0.1797155878199322
34,Yugoslavia,0,Western Core,0.009522505569608018,151.8964478974763,0.07519761852033902
35,San Marino,2,Eastern European Bloc,0.01192641727715888,230.1891369839333,0.2378034198280094
36,Georgia,2,Eastern European Bloc,0.01701363437983856,366.4100610561684,0.5207201617625847
37,Moldova,2,Eastern European Bloc,0.02257035131131063,452.2342461655868,0.6989680997773848
38,Monaco,0,Western Core,0.008278114412172823,122.7225352705063,0.014606425455685412
39,Malta,0,Western Core,0.02304245944505859,470.6230803066444,0.7371598025469575
40,Albania,3,Balkan Brotherhood,0.01880904563299141,385.9676069736371,0.5613391577713918
41,Slovenia,3,Balkan Brotherhood,0.01772040825223598,372.6341505010348,0.5336469505011285
42,Azerbaijan,2,Eastern European Bloc,0.02499313829178114,478.812650016005,0.7541686901007503
43,Bosnia & Herzegovina,3,Balkan Brotherhood,0.01578440660661352,312.1971925782769,0.4081256523276067
44,Croatia,3,Balkan Brotherhood,0.02396393906746781,483.8883349046583,0.7647103615918558
45,Belarus,2,Eastern European Bloc,0.01548536429401438,337.3216870809017,0.4603066236126529
46,North Macedonia,3,Balkan Brotherhood,0.02113523522487746,446.6619120807425,0.6873949393764238
47,Montenegro,3,Balkan Brotherhood,0.01326213872087752,253.0018373477474,0.285183034271364
48,Serbia & Montenegro,3,Balkan Brotherhood,0.008881775157262602,115.6897214491673,0.0
